Designator,Mid X,Mid Y,Rotation,Layer
AE1,100.0,-67.5,180.0,top
C1,119.0,-50.1,0.0,top
C10,114.4,-70.7,0.0,top
C11,117.4,-61.0,0.0,top
C12,117.6,-63.4,0.0,top
C13,95.5,-69.099999,0.0,top
C14,100.2,-70.0,180.0,top
C15,103.7,-61.4,180.0,top
C16,99.9,-56.15,270.0,top
C17,103.8,-59.3,0.0,top
C18,94.5,-59.6,0.0,top
C2,120.85,-56.9,90.0,top
C3,120.75,-53.4,270.0,top
C4,109.55,-55.0,270.0,top
C5,108.8,-61.6,270.0,top
C6,110.9,-61.6,270.0,top
C7,114.5,-68.6,0.0,top
C8,106.7,-61.6,90.0,top
C9,107.7,-73.2,90.0,top
J1,123.8,-59.43,0.0,top
J2,127.2,-68.0,90.0,top
J3,99.7,-52.4,90.0,top
J4,104.815,-48.675,90.0,top
J5,104.83,-45.0,90.0,top
L1,104.1,-66.9,180.0,top
L2,99.2,-65.6,0.0,top
L3,101.3,-64.7,270.0,top
R1,119.2,-65.7,0.0,top
R2,119.2,-70.2,0.0,top
R3,100.0875,-73.3,0.0,top
R4,110.7,-73.2,90.0,top
R5,95.5,-71.099999,180.0,top
R6,103.9,-65.1,180.0,top
SW1,91.9025,-69.900049,90.0,top
SW2,91.9025,-63.90005,90.0,top
U1,108.9,-67.9,90.0,top
U2,115.15,-54.9,0.0,top
U3,99.3,-60.55,90.0,top
X1,113.9,-61.9,270.0,top
